                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.123,                 2.6597,                 1.6086,                0.20586,                0.27096,                0.19767,                 0.0776,                 2.0914,                 3.5665,                  2.682,              0.0002352,              0.0002352,              0.0002352
                      2,                 1.1279,                 2.2009,                 1.5825,                 0.1334,                0.27939,                0.18082,                0.10161,                 1.8836,                 3.7813,                  2.521,             0.00047086,             0.00047086,             0.00047086
                      3,                 1.1865,                 2.2376,                 1.6152,                0.14425,                 0.1117,                 0.0913,                0.05831,                 2.2229,                 80.493,                 2.7889,             0.00070416,             0.00070416,             0.00070416
                      4,                 1.1859,                 2.2176,                 1.6169,                0.14471,                0.28998,                0.19835,                0.08564,                 2.0782,                  3.132,                 2.6616,              0.0007034,              0.0007034,              0.0007034
                      5,                 1.1611,                 2.1494,                 1.5999,                0.35818,                0.29099,                0.24046,                0.13176,                 1.9546,                 2.8467,                 2.4796,              0.0007034,              0.0007034,              0.0007034
                      6,                 1.1129,                 2.1103,                 1.5503,                0.44786,                0.26205,                0.25512,                0.12879,                 1.9468,                 3.1748,                 2.4787,             0.00069986,             0.00069986,             0.00069986
                      7,                  1.114,                 2.0132,                 1.5449,                0.53861,                0.28255,                0.29196,                0.17019,                 1.8731,                 2.7599,                 2.4514,             0.00069633,             0.00069633,             0.00069633
                      8,                 1.0347,                 1.8483,                 1.4952,                0.27476,                0.39285,                   0.34,                0.19307,                 1.8072,                 2.5708,                 2.3412,             0.00069279,             0.00069279,             0.00069279
                      9,                 1.0295,                 1.8499,                 1.4852,                0.61025,                 0.2874,                0.35856,                0.18675,                 1.9451,                 2.5957,                 2.4601,             0.00068926,             0.00068926,             0.00068926
                     10,                 1.0292,                 1.8219,                 1.4843,                0.55582,                0.35209,                0.40754,                0.23696,                 1.7201,                 2.4289,                 2.2346,             0.00068573,             0.00068573,             0.00068573
                     11,                0.98001,                 1.7331,                 1.4606,                0.42159,                0.32416,                0.30206,                0.17037,                 1.8858,                 2.6394,                 2.3597,             0.00068219,             0.00068219,             0.00068219
                     12,                 1.0072,                 1.7139,                 1.4731,                0.32691,                0.37472,                0.34741,                0.20195,                 1.8794,                 2.4525,                 2.3135,             0.00067866,             0.00067866,             0.00067866
                     13,                0.98243,                  1.667,                 1.4486,                0.59722,                 0.4352,                0.46051,                0.26906,                 1.6902,                 2.3248,                 2.1903,             0.00067512,             0.00067512,             0.00067512
                     14,                0.96273,                 1.5949,                  1.431,                0.57943,                0.40695,                0.39595,                0.22556,                   1.75,                 2.4719,                 2.2519,             0.00067159,             0.00067159,             0.00067159
                     15,                0.94993,                  1.576,                 1.4127,                0.39057,                0.34702,                0.34205,                0.19718,                  1.683,                 2.6541,                 2.1026,             0.00066805,             0.00066805,             0.00066805
